Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.9247,"code, channel, decod, rate, error, capac, sourc, scheme, bound, achiev",
0,0.8836,"code, channel, decod, rate, error, capac, sourc, scheme, bound, achiev",
0,0.8771,"code, channel, decod, rate, error, capac, sourc, scheme, bound, achiev",
0,0.8451,"code, channel, decod, rate, error, capac, sourc, scheme, bound, achiev",
0,0.8212,"code, channel, decod, rate, error, capac, sourc, scheme, bound, achiev",
1,0.9912,"object, video, method, 3d, detect, featur, dataset, segment, scene, imag",
1,0.9868,"object, video, method, 3d, detect, featur, dataset, segment, scene, imag",
1,0.9863,"object, video, method, 3d, detect, featur, dataset, segment, scene, imag",
1,0.9855,"object, video, method, 3d, detect, featur, dataset, segment, scene, imag",
1,0.9836,"object, video, method, 3d, detect, featur, dataset, segment, scene, imag",
2,0.9835,"imag, gener, method, learn, model, face, featur, resolut, network, qualiti",
2,0.9677,"imag, gener, method, learn, model, face, featur, resolut, network, qualiti",
2,0.9541,"imag, gener, method, learn, model, face, featur, resolut, network, qualiti",
2,0.953,"imag, gener, method, learn, model, face, featur, resolut, network, qualiti",
2,0.9467,"imag, gener, method, learn, model, face, featur, resolut, network, qualiti",
3,0.8495,"segment, imag, 0, detect, medic, data, wa, result, base, dataset",
3,0.7956,"segment, imag, 0, detect, medic, data, wa, result, base, dataset",
3,0.7925,"segment, imag, 0, detect, medic, data, wa, result, base, dataset",
3,0.7886,"segment, imag, 0, detect, medic, data, wa, result, base, dataset",
3,0.7828,"segment, imag, 0, detect, medic, data, wa, result, base, dataset",
4,0.9795,"problem, function, gener, be, n, distribut, optim, linear, it, which",
4,0.9658,"problem, function, gener, be, n, distribut, optim, linear, it, which",
4,0.9626,"problem, function, gener, be, n, distribut, optim, linear, it, which",
4,0.9601,"problem, function, gener, be, n, distribut, optim, linear, it, which",
4,0.957,"problem, function, gener, be, n, distribut, optim, linear, it, which",
5,0.952,"model, system, gener, human, inform, it, question, be, can, research",
5,0.9503,"model, system, gener, human, inform, it, question, be, can, research",
5,0.9431,"model, system, gener, human, inform, it, question, be, can, research",
5,0.9358,"model, system, gener, human, inform, it, question, be, can, research",
5,0.9171,"model, system, gener, human, inform, it, question, be, can, research",
6,0.9782,"network, learn, model, train, neural, deep, perform, architectur, can, convolut",
6,0.9707,"network, learn, model, train, neural, deep, perform, architectur, can, convolut",
6,0.9683,"network, learn, model, train, neural, deep, perform, architectur, can, convolut",
6,0.9594,"network, learn, model, train, neural, deep, perform, architectur, can, convolut",
6,0.9551,"network, learn, model, train, neural, deep, perform, architectur, can, convolut",
7,0.9912,"model, languag, task, train, domain, word, learn, data, text, label",
7,0.9859,"model, languag, task, train, domain, word, learn, data, text, label",
7,0.9853,"model, languag, task, train, domain, word, learn, data, text, label",
7,0.985,"model, languag, task, train, domain, word, learn, data, text, label",
7,0.9746,"model, languag, task, train, domain, word, learn, data, text, label",
8,0.8991,"algorithm, method, base, data, be, it, can, detect, robust, paper",
8,0.8375,"algorithm, method, base, data, be, it, can, detect, robust, paper",
8,0.8081,"algorithm, method, base, data, be, it, can, detect, robust, paper",
8,0.8048,"algorithm, method, base, data, be, it, can, detect, robust, paper",
8,0.7976,"algorithm, method, base, data, be, it, can, detect, robust, paper",
9,0.9894,"user, system, channel, optim, network, power, perform, scheme, base, energi",
9,0.9886,"user, system, channel, optim, network, power, perform, scheme, base, energi",
9,0.9877,"user, system, channel, optim, network, power, perform, scheme, base, energi",
9,0.9872,"user, system, channel, optim, network, power, perform, scheme, base, energi",
9,0.987,"user, system, channel, optim, network, power, perform, scheme, base, energi",
