Dominant_Topic,Perc_Contribution,Topic_Keywords,Original_Text
5,0.6415,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",<built-in method copy of list object at 0x000001C7BD533F00>
2,0.7333,"data, learning, training, model, models, new, language, performance, representations, supervised",
5,0.5049,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
8,0.868,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
0,0.9921,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
5,0.9955,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
0,0.9281,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
6,0.527,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
2,0.6239,"data, learning, training, model, models, new, language, performance, representations, supervised",
5,0.6657,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
9,0.9949,"text, model, based, models, system, language, speech, end, word, knowledge",
6,0.6303,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
6,0.4124,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.3511,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.4321,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.543,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
9,0.42,"text, model, based, models, system, language, speech, end, word, knowledge",
2,0.8891,"data, learning, training, model, models, new, language, performance, representations, supervised",
3,0.6015,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
5,0.5077,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
1,0.5528,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
9,0.9956,"text, model, based, models, system, language, speech, end, word, knowledge",
1,0.5408,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.3754,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.7037,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
4,0.5668,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.3732,"data, learning, training, model, models, new, language, performance, representations, supervised",
3,0.5542,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
8,0.9929,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.7663,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.9743,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.5749,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
7,0.4163,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
1,0.9955,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.564,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.5413,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
4,0.5247,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.4259,"models, learning, deep, training, model, task, art, images, state, state_art",
1,0.6165,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
1,0.5759,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
2,0.8146,"data, learning, training, model, models, new, language, performance, representations, supervised",
3,0.9955,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
4,0.6218,"models, learning, deep, training, model, task, art, images, state, state_art",
7,0.9952,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
7,0.9915,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
1,0.5683,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
6,0.5962,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
2,0.8624,"data, learning, training, model, models, new, language, performance, representations, supervised",
5,0.8162,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
1,0.9965,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
6,0.499,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.5394,"models, learning, deep, training, model, task, art, images, state, state_art",
0,0.8284,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
6,0.4444,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
8,0.9872,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.3625,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.5921,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.9957,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.744,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
4,0.9083,"models, learning, deep, training, model, task, art, images, state, state_art",
5,0.5347,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
6,0.6336,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.996,"models, learning, deep, training, model, task, art, images, state, state_art",
9,0.3222,"text, model, based, models, system, language, speech, end, word, knowledge",
7,0.6814,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
4,0.6939,"models, learning, deep, training, model, task, art, images, state, state_art",
2,0.7029,"data, learning, training, model, models, new, language, performance, representations, supervised",
7,0.542,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
4,0.5379,"models, learning, deep, training, model, task, art, images, state, state_art",
9,0.6243,"text, model, based, models, system, language, speech, end, word, knowledge",
8,0.9938,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
0,0.5395,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
7,0.6507,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
3,0.5275,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
5,0.6217,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
2,0.4733,"data, learning, training, model, models, new, language, performance, representations, supervised",
7,0.7144,"based, problem, estimation, performance, proposed, methods, feature, approach, approaches, state_art",
6,0.3126,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
2,0.4586,"data, learning, training, model, models, new, language, performance, representations, supervised",
9,0.6591,"text, model, based, models, system, language, speech, end, word, knowledge",
4,0.6701,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.7957,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
2,0.4811,"data, learning, training, model, models, new, language, performance, representations, supervised",
8,0.9941,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
2,0.2153,"data, learning, training, model, models, new, language, performance, representations, supervised",
1,0.9938,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
6,0.7708,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
4,0.4632,"models, learning, deep, training, model, task, art, images, state, state_art",
3,0.5948,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
1,0.7406,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
5,0.2898,"segmentation, video, model, semantic, method, visual, object, objects, motion, propose",
0,0.5472,"codes, code, 1, n, paper, m, optimal, linear, minimum, binary",
6,0.8363,"image, images, proposed, 3d, based, object, dataset, learning, methods, method",
9,0.4942,"text, model, based, models, system, language, speech, end, word, knowledge",
9,0.9956,"text, model, based, models, system, language, speech, end, word, knowledge",
8,0.9936,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.9941,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
8,0.5022,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.258,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
4,0.7482,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.9863,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
1,0.9288,"image, network, neural, networks, images, methods, method, convolutional, proposed, based",
4,0.619,"models, learning, deep, training, model, task, art, images, state, state_art",
4,0.9952,"models, learning, deep, training, model, task, art, images, state, state_art",
8,0.808,"channel, proposed, rate, algorithm, problem, number, information, results, based, time",
3,0.6952,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
3,0.9946,"translation, model, target, information, feedback, based, language, machine, natural, machine_translation",
4,0.5545,"models, learning, deep, training, model, task, art, images, state, state_art",
