Dominant_Topic,Perc_Contribution,Topic_Keywords,Original_Text
8,0.5709,"image, network, method, propose, features, methods, art, state, 3d, feature",<built-in method copy of list object at 0x000001C7C7BFD700>
1,0.7375,"language, text, model, word, models, based, information, task, natural, words",
8,0.3798,"image, network, method, propose, features, methods, art, state, 3d, feature",
4,0.5971,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.4866,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
8,0.3573,"image, network, method, propose, features, methods, art, state, 3d, feature",
6,0.4374,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
8,0.6564,"image, network, method, propose, features, methods, art, state, 3d, feature",
2,0.4489,"data, training, model, learning, adversarial, method, loss, space, models, propose",
8,0.5534,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.222,"language, text, model, word, models, based, information, task, natural, words",
8,0.39,"image, network, method, propose, features, methods, art, state, 3d, feature",
6,0.4611,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
5,0.5001,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
2,0.2793,"data, training, model, learning, adversarial, method, loss, space, models, propose",
6,0.6339,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
1,0.4956,"language, text, model, word, models, based, information, task, natural, words",
5,0.4528,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
1,0.4911,"language, text, model, word, models, based, information, task, natural, words",
8,0.4893,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.3362,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.6323,"language, text, model, word, models, based, information, task, natural, words",
8,0.4394,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.5714,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.5205,"image, network, method, propose, features, methods, art, state, 3d, feature",
1,0.5098,"language, text, model, word, models, based, information, task, natural, words",
9,0.259,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
1,0.733,"language, text, model, word, models, based, information, task, natural, words",
4,0.5938,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.5482,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
6,0.3517,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
8,0.3167,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.4484,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
8,0.4281,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.7652,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
5,0.3413,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
7,0.537,"data, system, learning, systems, research, human, machine, user, speech, s",
2,0.4442,"data, training, model, learning, adversarial, method, loss, space, models, propose",
6,0.4232,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
4,0.4375,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
2,0.6954,"data, training, model, learning, adversarial, method, loss, space, models, propose",
1,0.2537,"language, text, model, word, models, based, information, task, natural, words",
2,0.4045,"data, training, model, learning, adversarial, method, loss, space, models, propose",
8,0.7017,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.4528,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
9,0.5313,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
2,0.5278,"data, training, model, learning, adversarial, method, loss, space, models, propose",
2,0.2904,"data, training, model, learning, adversarial, method, loss, space, models, propose",
2,0.3141,"data, training, model, learning, adversarial, method, loss, space, models, propose",
0,0.6634,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
2,0.5296,"data, training, model, learning, adversarial, method, loss, space, models, propose",
0,0.5248,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
6,0.4215,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
1,0.3753,"language, text, model, word, models, based, information, task, natural, words",
4,0.5822,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
7,0.6243,"data, system, learning, systems, research, human, machine, user, speech, s",
2,0.444,"data, training, model, learning, adversarial, method, loss, space, models, propose",
3,0.3379,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
4,0.8472,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
5,0.3184,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
1,0.303,"language, text, model, word, models, based, information, task, natural, words",
8,0.4439,"image, network, method, propose, features, methods, art, state, 3d, feature",
2,0.7098,"data, training, model, learning, adversarial, method, loss, space, models, propose",
0,0.3744,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
6,0.436,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
0,0.4841,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
7,0.4742,"data, system, learning, systems, research, human, machine, user, speech, s",
0,0.4515,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
0,0.5554,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
1,0.4344,"language, text, model, word, models, based, information, task, natural, words",
4,0.8408,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.6585,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
9,0.3766,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
4,0.6672,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
2,0.4582,"data, training, model, learning, adversarial, method, loss, space, models, propose",
5,0.5073,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
9,0.4399,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
