label_name,model_name,target_field,train_size,tokenizer,Accuracy,Macro Precision,Macro Recall,Macro F1 score,MCC,Recall,Precision
InformationTheory,LinearSVC,title,900,custom_tokenizer,0.8364884313074283,0.8625061289612967,0.8281084875655896,0.8305355318330615,0.6897574579712719,"[1.00000000e+00 9.99882062e-01 9.99882062e-01 ... 2.35876872e-04
 1.17938436e-04 0.00000000e+00]",[0.46969865 0.46966927 0.46969529 ... 1.         1.         1.        ]
ComputationalLinguistics,LinearSVC,title,900,custom_tokenizer,0.8811026237130521,0.8132149676241076,0.7743832154842596,0.7913727296259354,0.5863136701612914,"[1.00000000e+00 9.99703088e-01 9.99703088e-01 ... 5.93824228e-04
 2.96912114e-04 0.00000000e+00]",[0.18940502 0.18935943 0.18937008 ... 1.         1.         1.        ]
ComputerVision,LinearSVC,title,900,custom_tokenizer,0.8348832060223624,0.8156895726207799,0.8296835260603406,0.8213578922616693,0.6452213618351478,"[1.00000000e+00 9.99839202e-01 9.99839202e-01 ... 3.21595112e-04
 1.60797556e-04 0.00000000e+00]",[0.34496339 0.3450419  0.34506104 ... 1.         1.         1.        ]
InformationTheory,LinearSVC,title,900,custom_tokenizer_P2,0.8468947193623381,0.8694037784149105,0.8392219616007361,0.8419674781353987,0.707982695654716,"[1.00000000e+00 9.99882062e-01 9.99882062e-01 ... 2.35876872e-04
 1.17938436e-04 0.00000000e+00]",[0.47076786 0.47073848 0.47076462 ... 1.         1.         1.        ]
ComputationalLinguistics,LinearSVC,title,900,custom_tokenizer_P2,0.8933909000332115,0.8422621801221277,0.7845673333163108,0.808611702132926,0.6241686819839032,"[1.00000000e+00 9.99703088e-01 9.99703088e-01 ... 5.93824228e-04
 2.96912114e-04 0.00000000e+00]",[0.18788352 0.18784869 0.18785918 ... 1.         1.         1.        ]
ComputerVision,LinearSVC,title,900,custom_tokenizer_P2,0.8503265803166169,0.8320627917554169,0.8470731770579797,0.8381461807400622,0.6789700674324157,"[1.00000000e+00 9.99839202e-01 9.99839202e-01 ... 3.21595112e-04
 1.60797556e-04 0.00000000e+00]",[0.346501   0.34646459 0.3464839  ... 1.         1.         1.        ]
InformationTheory,LinearSVC,abstract,900,custom_tokenizer,0.9247204693900144,0.9357224077176827,0.9202312247810023,0.9234337400519605,0.8558134400901379,"[1.00000000e+00 9.99882062e-01 9.99882062e-01 ... 2.35876872e-04
 1.17938436e-04 0.00000000e+00]",[0.50168629 0.5016568  0.50168649 ... 1.         1.         1.        ]
ComputationalLinguistics,LinearSVC,abstract,900,custom_tokenizer,0.9334661795638215,0.9185905486880406,0.8535984099829053,0.8813704151090274,0.7694490300207364,"[1.00000000e+00 9.99703088e-01 9.99703088e-01 ... 5.93824228e-04
 2.96912114e-04 0.00000000e+00]",[0.19767578 0.19764029 0.19765189 ... 1.         1.         1.        ]
ComputerVision,LinearSVC,abstract,900,custom_tokenizer,0.9290379718808812,0.9186866189884708,0.925918012954281,0.9220985849857695,0.844573674252556,"[1.00000000e+00 9.99839202e-01 9.99839202e-01 ... 3.21595112e-04
 1.60797556e-04 0.00000000e+00]",[0.34924468 0.34920813 0.34922775 ... 1.         1.         1.        ]
InformationTheory,LinearSVC,abstract,900,custom_tokenizer_P2,0.9246651167939777,0.9353244563721442,0.920247223418344,0.9234008159951866,0.855438820901866,"[1.00000000e+00 9.99882062e-01 9.99882062e-01 ... 2.35876872e-04
 1.17938436e-04 0.00000000e+00]",[0.4874109  0.48738143 0.48740945 ... 1.         1.         1.        ]
ComputationalLinguistics,LinearSVC,abstract,900,custom_tokenizer_P2,0.9314734861064984,0.9188541560792163,0.8463085489356736,0.8766850361275769,0.7617158919373275,"[1.00000000e+00 9.99703088e-01 9.99703088e-01 ... 5.93824228e-04
 2.96912114e-04 0.00000000e+00]",[0.21375984 0.2137235  0.21373707 ... 1.         1.         1.        ]
