Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.9969,"image, it, can, based, be, method, network, approach, proposed, noise","  The unprecedented growth in the easy availability of photo-editing tools has
endangered the power of digital images.An image was supposed to be worth more
than a thousand wordsbut now this can be said only if it can be authenticated
orthe integrity of the image can be proved to be intact. In thispaper we
propose a digital image forensic technique for JPEG images. It can detect any
forgery in the image if the forged portion called a ghost image is having a
compression quality different from that of the cover image. It is based on
resaving the JPEG image at different JPEG qualities and the detection of the
forged portion is maximum when it is saved at the same JPEG quality as the
cover image. Also we can precisely predictthe JPEG quality of the cover image
by analyzing the similarity using Structural Similarity Index Measure (SSIM) or
the energyof the images. The first maxima in SSIM or the first minima inenergy
correspond to the cover image JPEG quality. We created adataset for varying
JPEG compression qualities of the ghost and the cover images and validated the
scalability of the experimental results.We also experimented with varied
attack scenarios e.g. high-quality ghost image embedded in low quality of
cover imagelow-quality ghost image embedded in high-quality of cover imageand
ghost image and cover image both at the same quality.The proposed method is
able to localize the tampered portions accurately even for forgeries as small
as 10x10 sized pixel blocks.Our technique is also robust against other attack
scenarios like copy-move forgery inserting text into image rescaling
(zoom-out/zoom-in) ghost image and then pasting on cover image.
"
0,0.9962,"image, it, can, based, be, method, network, approach, proposed, noise","  Electroluminescence (EL) imaging is a useful modality for the inspection of
photovoltaic (PV) modules. EL images provide high spatial resolution which
makes it possible to detect even finest defects on the surface of PV modules.
However the analysis of EL images is typically a manual process that is
expensive time-consuming and requires expert knowledge of many different
types of defects. In this work we investigate two approaches for automatic
detection of such defects in a single image of a PV cell. The approaches differ
in their hardware requirements which are dictated by their respective
application scenarios. The more hardware-efficient approach is based on
hand-crafted features that are classified in a Support Vector Machine (SVM). To
obtain a strong performance we investigate and compare various processing
variants. The more hardware-demanding approach uses an end-to-end deep
Convolutional Neural Network (CNN) that runs on a Graphics Processing Unit
(GPU). Both approaches are trained on 1968 cells extracted from high
resolution EL intensity images of mono- and polycrystalline PV modules. The CNN
is more accurate and reaches an average accuracy of 88.42%. The SVM achieves a
slightly lower average accuracy of 82.44% but can run on arbitrary hardware.
Both automated approaches make continuous highly accurate monitoring of PV
cells feasible.
"
0,0.9956,"image, it, can, based, be, method, network, approach, proposed, noise","  We propose a convolutional neural network (CNN) architecture for image
classification based on subband decomposition of the image using wavelets. The
proposed architecture decomposes the input image spectra into multiple
critically sampled subbands extracts features using a single CNN per subband
and finally performs classification by combining the extracted features using
a fully connected layer. Processing each of the subbands by an individual CNN
thereby limiting the learning scope of each CNN to a single subband imposes a
form of structural regularization. This provides better generalization
capability as seen by the presented results. The proposed architecture achieves
best-in-class performance in terms of total multiply-add-accumulator operations
and nearly best-in-class performance in terms of total parameters required yet
it maintains competitive classification performance. We also show the proposed
architecture is more robust than the regular full-band CNN to noise caused by
weight-and-bias quantization and input quantization.
"
0,0.9949,"image, it, can, based, be, method, network, approach, proposed, noise","  We show that for a nonnegative tensor a best nonnegative rank-r
approximation is almost always unique its best rank-one approximation may
always be chosen to be a best nonnegative rank-one approximation and that the
set of nonnegative tensors with non-unique best rank-one approximations form an
algebraic hypersurface. We show that the last part holds true more generally
for real tensors and thereby determine a polynomial equation so that a real or
nonnegative tensor which does not satisfy this equation is guaranteed to have a
unique best rank-one approximation. We also establish an analogue for real or
nonnegative symmetric tensors. In addition we prove a singular vector variant
of the Perron--Frobenius Theorem for positive tensors and apply it to show that
a best nonnegative rank-r approximation of a positive tensor can never be
obtained by deflation. As an aside we verify that the Euclidean distance (ED)
discriminants of the Segre variety and the Veronese variety are hypersurfaces
and give defining equations of these ED discriminants.
"
0,0.8948,"image, it, can, based, be, method, network, approach, proposed, noise","  Feature preserving image interpolation is an active area in image processing
field. In this paper a new direct edge directed image super-resolution
algorithm based on structure tensors is proposed. Using an isotropic Gaussian
filter the structure tensor at each pixel of the input image is computed and
the pixels are classified to three distinct classes; uniform region corners
and edges according to the eigenvalues of the structure tensor. Due to
application of the isotropic Gaussian filter the classification is robust to
noise presented in image. Based on the tangent eigenvector of the structure
tensor the edge direction is determined and used for interpolation along the
edges. In comparison to some previous edge directed image interpolation
methods the proposed method achieves higher quality in both subjective and
objective aspects. Also the proposed method outperforms previous methods in
case of noisy and JPEG compressed images. Furthermore without the need for
optimization in the process the algorithm can achieve higher speed.
"
1,0.9976,"object, method, image, network, segmentation, feature, detection, deep, our, which","  Moving object segmentation is a crucial task for autonomous vehicles as it
can be used to segment objects in a class agnostic manner based on their motion
cues. It enables the detection of unseen objects during training (e.g. moose
or a construction truck) based on their motion and independent of their
appearance. Although pixel-wise motion segmentation has been studied in
autonomous driving literature it has been rarely addressed at the instance
level which would help separate connected segments of moving objects leading
to better trajectory planning. As the main issue is the lack of large public
datasets we create a new InstanceMotSeg dataset comprising of 12.9K samples
improving upon our KITTIMoSeg dataset. In addition to providing instance level
annotations we have added 4 additional classes which is crucial for studying
class agnostic motion segmentation. We adapt YOLACT and implement a
motion-based class agnostic instance segmentation model which would act as a
baseline for the dataset. We also extend it to an efficient multi-task model
which additionally provides semantic instance segmentation sharing the encoder.
The model then learns separate prototype coefficients within the class agnostic
and semantic heads providing two independent paths of object detection for
redundant safety. To obtain real-time performance we study different efficient
encoders and obtain 39 fps on a Titan Xp GPU using MobileNetV2 with an
improvement of 10% mAP relative to the baseline. Our model improves the
previous state of the art motion segmentation method by 3.3%. The dataset and
qualitative results video are shared in our website at
https://sites.google.com/view/instancemotseg/.
"
1,0.9971,"object, method, image, network, segmentation, feature, detection, deep, our, which","  While generic object detection has achieved large improvements with rich
feature hierarchies from deep nets detecting small objects with poor visual
cues remains challenging. Motion cues from multiple frames may be more
informative for detecting such hard-to-distinguish objects in each frame.
However how to encode discriminative motion patterns such as deformations and
pose changes that characterize objects has remained an open question. To learn
them and thereby realize small object detection we present a neural model
called the Recurrent Correlational Network where detection and tracking are
jointly performed over a multi-frame representation learned through a single
trainable and end-to-end network. A convolutional long short-term memory
network is utilized for learning informative appearance change for detection
while learned representation is shared in tracking for enhancing its
performance. In experiments with datasets containing images of scenes with
small flying objects such as birds and unmanned aerial vehicles the proposed
method yielded consistent improvements in detection performance over deep
single-frame detectors and existing motion-based detectors. Furthermore our
network performs as well as state-of-the-art generic object trackers when it
was evaluated as a tracker on the bird dataset.
"
1,0.997,"object, method, image, network, segmentation, feature, detection, deep, our, which","  Understanding chest CT imaging of the coronavirus disease 2019 (COVID-19)
will help detect infections early and assess the disease progression.
Especially automated severity assessment of COVID-19 in CT images plays an
essential role in identifying cases that are in great need of intensive
clinical care. However it is often challenging to accurately assess the
severity of this disease in CT images due to variable infection regions in the
lungs similar imaging biomarkers and large inter-case variations. To this
end we propose a synergistic learning framework for automated severity
assessment of COVID-19 in 3D CT images by jointly performing lung lobe
segmentation and multi-instance classification. Considering that only a few
infection regions in a CT image are related to the severity assessment we
first represent each input image by a bag that contains a set of 2D image
patches (with each cropped from a specific slice). A multi-task multi-instance
deep network (called M$^2$UNet) is then developed to assess the severity of
COVID-19 patients and also segment the lung lobe simultaneously. Our M$^2$UNet
consists of a patch-level encoder a segmentation sub-network for lung lobe
segmentation and a classification sub-network for severity assessment (with a
unique hierarchical multi-instance learning strategy). Here the context
information provided by segmentation can be implicitly employed to improve the
performance of severity assessment. Extensive experiments were performed on a
real COVID-19 CT image dataset consisting of 666 chest CT images with results
suggesting the effectiveness of our proposed method compared to several
state-of-the-art methods.
"
1,0.9967,"object, method, image, network, segmentation, feature, detection, deep, our, which","  In this paper we propose a novel approach for learning multi-label
classifiers with the help of privileged information. Specifically we use
similarity constraints to capture the relationship between available
information and privileged information and use ranking constraints to capture
the dependencies among multiple labels. By integrating similarity constraints
and ranking constraints into the learning process of classifiers the
privileged information and the dependencies among multiple labels are exploited
to construct better classifiers during training. A maximum margin classifier is
adopted and an efficient learning algorithm of the proposed method is also
developed. We evaluate the proposed method on two applications: multiple object
recognition from images with the help of implicit information about object
importance conveyed by the list of manually annotated image tags; and multiple
facial action unit detection from low-resolution images augmented by
high-resolution images. Experimental results demonstrate that the proposed
method can effectively take full advantage of privileged information and
dependencies among multiple labels for better object recognition and better
facial action unit detection.
"
1,0.9967,"object, method, image, network, segmentation, feature, detection, deep, our, which","  Deep convolutional neural networks (CNNs) have delivered superior performance
in many computer vision tasks. In this paper we propose a novel deep fully
convolutional network model for accurate salient object detection. The key
contribution of this work is to learn deep uncertain convolutional features
(UCF) which encourage the robustness and accuracy of saliency detection. We
achieve this via introducing a reformulated dropout (R-dropout) after specific
convolutional layers to construct an uncertain ensemble of internal feature
units. In addition we propose an effective hybrid upsampling method to reduce
the checkerboard artifacts of deconvolution operators in our decoder network.
The proposed methods can also be applied to other deep convolutional networks.
Compared with existing saliency detection methods the proposed UCF model is
able to incorporate uncertainties for more accurate object boundary inference.
Extensive experiments demonstrate that our proposed saliency model performs
favorably against state-of-the-art approaches. The uncertain feature learning
mechanism as well as the upsampling method can significantly improve
performance on other pixel-wise vision tasks.
"
