Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.876,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
0,0.8103,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
0,0.7997,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
0,0.7932,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
0,0.7767,"image, images, resolution, 0, segmentation, based, deep, method, results, proposed",
1,0.9669,"language, text, model, word, models, based, information, task, natural, words",
1,0.9404,"language, text, model, word, models, based, information, task, natural, words",
1,0.9249,"language, text, model, word, models, based, information, task, natural, words",
1,0.9167,"language, text, model, word, models, based, information, task, natural, words",
1,0.9159,"language, text, model, word, models, based, information, task, natural, words",
2,0.9178,"data, training, model, learning, adversarial, method, loss, space, models, propose",
2,0.8647,"data, training, model, learning, adversarial, method, loss, space, models, propose",
2,0.8621,"data, training, model, learning, adversarial, method, loss, space, models, propose",
2,0.8301,"data, training, model, learning, adversarial, method, loss, space, models, propose",
2,0.8275,"data, training, model, learning, adversarial, method, loss, space, models, propose",
3,0.8623,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
3,0.856,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
3,0.8119,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
3,0.8012,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
3,0.7903,"video, detection, object, recognition, face, temporal, pose, based, human, motion",
4,0.974,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.9692,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.9685,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.9673,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
4,0.9664,"channel, codes, rate, power, scheme, proposed, performance, paper, multiple, capacity",
5,0.8319,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
5,0.7912,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
5,0.7542,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
5,0.7526,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
5,0.7358,"domain, learning, training, task, model, models, data, tasks, dataset, knowledge",
6,0.9263,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
6,0.9215,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
6,0.911,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
6,0.9044,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
6,0.9031,"problem, n, information, linear, algorithm, 1, matrix, paper, k, 2",
7,0.7864,"data, system, learning, systems, research, human, machine, user, speech, s",
7,0.7633,"data, system, learning, systems, research, human, machine, user, speech, s",
7,0.7477,"data, system, learning, systems, research, human, machine, user, speech, s",
7,0.7036,"data, system, learning, systems, research, human, machine, user, speech, s",
7,0.6914,"data, system, learning, systems, research, human, machine, user, speech, s",
8,0.9728,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.9629,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.9544,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.9322,"image, network, method, propose, features, methods, art, state, 3d, feature",
8,0.9296,"image, network, method, propose, features, methods, art, state, 3d, feature",
9,0.8813,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
9,0.8475,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
9,0.834,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
9,0.8329,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
9,0.8311,"network, networks, neural, performance, proposed, time, model, based, accuracy, deep",
